fecha,turno,estacion_id,causa,minutos
2025-01-01,Mañana,EST-01,Ajustes de calidad,26
2025-01-01,Noche,EST-01,Cambio de formato,45
2025-01-01,Mañana,EST-02,Falla de máquina (espera mantención),91
2025-01-01,Noche,EST-02,Falta de materia prima,77
2025-01-02,Mañana,EST-01,Falla de máquina (espera mantención),56
2025-01-02,Mañana,EST-02,Falta de materia prima,87
2025-01-02,Noche,EST-02,Falta de materia prima,30
2025-01-03,Tarde,EST-02,Falla de máquina (espera mantención),72
2025-01-03,Noche,EST-02,Falta de materia prima,29
2025-01-04,Mañana,EST-01,Ajustes de calidad,18
2025-01-04,Noche,EST-01,Cambio de formato,30
2025-01-04,Noche,EST-01,Ajustes de calidad,30
2025-01-04,Mañana,EST-02,Cambio de formato,35
2025-01-04,Noche,EST-02,Falta de personal,41
2025-01-05,Noche,EST-01,Falta de materia prima,63
2025-01-05,Mañana,EST-02,Cambio de formato,43
2025-01-05,Noche,EST-02,Falta de materia prima,21
2025-01-06,Mañana,EST-01,Falta de personal,62
2025-01-06,Noche,EST-01,Falta de materia prima,76
2025-01-06,Tarde,EST-02,Ajustes de calidad,24
2025-01-06,Noche,EST-02,Falta de materia prima,80
2025-01-07,Mañana,EST-01,Falta de materia prima,39
2025-01-07,Mañana,EST-01,Cambio de formato,20
2025-01-07,Tarde,EST-01,Falta de personal,55
2025-01-07,Noche,EST-01,Falta de materia prima,38
2025-01-07,Noche,EST-01,Ajustes de calidad,12
2025-01-07,Noche,EST-01,Falla de máquina (espera mantención),89
2025-01-08,Noche,EST-01,Falta de materia prima,104
2025-01-08,Mañana,EST-02,Falta de materia prima,72
2025-01-08,Mañana,EST-02,Cambio de formato,44
2025-01-08,Tarde,EST-02,Ajustes de calidad,26
2025-01-09,Mañana,EST-01,Falta de materia prima,82
2025-01-09,Mañana,EST-01,Cambio de formato,37
2025-01-09,Tarde,EST-02,Cambio de formato,17
2025-01-09,Tarde,EST-02,Falla de máquina (espera mantención),107
2025-01-10,Tarde,EST-01,Cambio de formato,22
2025-01-10,Noche,EST-01,Falta de materia prima,44
2025-01-10,Noche,EST-01,Cambio de formato,19
2025-01-10,Noche,EST-02,Falta de personal,23
2025-01-10,Noche,EST-02,Falla de máquina (espera mantención),98
2025-01-11,Mañana,EST-01,Falta de materia prima,58
2025-01-11,Tarde,EST-02,Falta de materia prima,118
2025-01-12,Tarde,EST-01,Falla de máquina (espera mantención),133
2025-01-12,Mañana,EST-02,Ajustes de calidad,25
2025-01-13,Mañana,EST-01,Cambio de formato,26
2025-01-13,Mañana,EST-01,Falla de máquina (espera mantención),131
2025-01-13,Tarde,EST-01,Falta de materia prima,50
2025-01-13,Tarde,EST-01,Falta de personal,32
2025-01-13,Noche,EST-01,Cambio de formato,23
2025-01-14,Mañana,EST-01,Ajustes de calidad,17
2025-01-14,Tarde,EST-02,Falta de materia prima,71
2025-01-14,Noche,EST-02,Falta de materia prima,98
2025-01-15,Mañana,EST-01,Falta de materia prima,57
2025-01-15,Tarde,EST-01,Falta de materia prima,31
2025-01-15,Tarde,EST-01,Falla de máquina (espera mantención),56
2025-01-16,Mañana,EST-01,Cambio de formato,25
2025-01-16,Mañana,EST-01,Falta de personal,34
2025-01-16,Noche,EST-02,Falta de materia prima,37
2025-01-16,Noche,EST-02,Cambio de formato,32
2025-01-17,Mañana,EST-01,Cambio de formato,24
2025-01-17,Mañana,EST-01,Ajustes de calidad,11
2025-01-17,Tarde,EST-01,Falta de materia prima,106
2025-01-17,Tarde,EST-01,Falta de personal,27
2025-01-17,Noche,EST-01,Cambio de formato,23
2025-01-17,Noche,EST-01,Ajustes de calidad,13
