fecha,turno,estacion_id,estacion_nombre,tiempo_planificado_min,tiempo_paradas_min,tiempo_operativo_min,velocidad_ideal_upm,unidades_producidas,unidades_defectuosas,unidades_buenas,dias_desde_mantencion,fecha_ultima_mantencion
2025-01-01,Mañana,EST-01,Aserrado,480,26,454,12,4944,100,4844,1,2025-01-01
2025-01-01,Tarde,EST-01,Aserrado,480,0,480,12,5345,89,5256,2,2025-01-01
2025-01-01,Noche,EST-01,Aserrado,480,45,435,12,4648,174,4474,3,2025-01-01
2025-01-01,Mañana,EST-02,Prensado,480,91,389,8,2763,105,2658,15,2025-01-01
2025-01-01,Tarde,EST-02,Prensado,480,0,480,8,3335,79,3256,16,2025-01-01
2025-01-01,Noche,EST-02,Prensado,480,77,403,8,2737,81,2656,17,2025-01-01
2025-01-02,Mañana,EST-01,Aserrado,480,56,424,12,4716,69,4647,4,2025-01-01
2025-01-02,Tarde,EST-01,Aserrado,480,0,480,12,5063,138,4925,5,2025-01-01
2025-01-02,Noche,EST-01,Aserrado,480,0,480,12,5332,113,5219,6,2025-01-01
2025-01-02,Mañana,EST-02,Prensado,480,87,393,8,2939,60,2879,0,2025-01-01
2025-01-02,Tarde,EST-02,Prensado,480,0,480,8,3573,61,3512,1,2025-01-01
2025-01-02,Noche,EST-02,Prensado,480,30,450,8,3342,77,3265,2,2025-01-01
2025-01-03,Mañana,EST-01,Aserrado,480,0,480,12,5049,67,4982,0,2025-01-02
2025-01-03,Tarde,EST-01,Aserrado,480,0,480,12,5220,126,5094,1,2025-01-02
2025-01-03,Noche,EST-01,Aserrado,480,0,480,12,4966,115,4851,2,2025-01-02
2025-01-03,Mañana,EST-02,Prensado,480,0,480,8,3525,76,3449,3,2025-01-01
2025-01-03,Tarde,EST-02,Prensado,480,72,408,8,3045,72,2973,4,2025-01-01
2025-01-03,Noche,EST-02,Prensado,480,29,451,8,3116,80,3036,5,2025-01-01
2025-01-04,Mañana,EST-01,Aserrado,480,18,462,12,5119,84,5035,3,2025-01-02
2025-01-04,Tarde,EST-01,Aserrado,480,0,480,12,5205,142,5063,4,2025-01-02
2025-01-04,Noche,EST-01,Aserrado,480,60,420,12,4603,190,4413,5,2025-01-02
2025-01-04,Mañana,EST-02,Prensado,480,35,445,8,3197,129,3068,0,2025-01-03
2025-01-04,Tarde,EST-02,Prensado,480,0,480,8,3503,71,3432,1,2025-01-03
2025-01-04,Noche,EST-02,Prensado,480,41,439,8,3376,73,3303,2,2025-01-03
2025-01-05,Mañana,EST-01,Aserrado,480,0,480,12,5386,135,5251,6,2025-01-02
2025-01-05,Tarde,EST-01,Aserrado,480,0,480,12,5476,123,5353,7,2025-01-02
2025-01-05,Noche,EST-01,Aserrado,480,63,417,12,4580,100,4480,8,2025-01-02
2025-01-05,Mañana,EST-02,Prensado,480,43,437,8,2969,92,2877,3,2025-01-03
2025-01-05,Tarde,EST-02,Prensado,480,0,480,8,3333,73,3260,4,2025-01-03
2025-01-05,Noche,EST-02,Prensado,480,21,459,8,3382,98,3284,5,2025-01-03
2025-01-06,Mañana,EST-01,Aserrado,480,62,418,12,4492,115,4377,9,2025-01-02
2025-01-06,Tarde,EST-01,Aserrado,480,0,480,12,5024,133,4891,10,2025-01-02
2025-01-06,Noche,EST-01,Aserrado,480,76,404,12,4145,94,4051,11,2025-01-02
2025-01-06,Mañana,EST-02,Prensado,480,0,480,8,3708,61,3647,6,2025-01-03
2025-01-06,Tarde,EST-02,Prensado,480,24,456,8,3468,64,3404,7,2025-01-03
2025-01-06,Noche,EST-02,Prensado,480,80,400,8,2735,62,2673,8,2025-01-03
2025-01-07,Mañana,EST-01,Aserrado,480,59,421,12,4519,163,4356,12,2025-01-02
2025-01-07,Tarde,EST-01,Aserrado,480,55,425,12,4733,134,4599,13,2025-01-02
2025-01-07,Noche,EST-01,Aserrado,480,139,341,12,3378,106,3272,14,2025-01-02
2025-01-07,Mañana,EST-02,Prensado,480,0,480,8,3417,79,3338,9,2025-01-03
2025-01-07,Tarde,EST-02,Prensado,480,0,480,8,3451,79,3372,10,2025-01-03
2025-01-07,Noche,EST-02,Prensado,480,0,480,8,3368,84,3284,11,2025-01-03
2025-01-08,Mañana,EST-01,Aserrado,480,0,480,12,5243,155,5088,15,2025-01-02
2025-01-08,Tarde,EST-01,Aserrado,480,0,480,12,4902,161,4741,16,2025-01-02
2025-01-08,Noche,EST-01,Aserrado,480,104,376,12,4022,151,3871,17,2025-01-02
2025-01-08,Mañana,EST-02,Prensado,480,116,364,8,2629,85,2544,12,2025-01-03
2025-01-08,Tarde,EST-02,Prensado,480,26,454,8,3325,98,3227,13,2025-01-03
2025-01-08,Noche,EST-02,Prensado,480,0,480,8,3133,75,3058,14,2025-01-03
2025-01-09,Mañana,EST-01,Aserrado,480,119,361,12,3857,171,3686,18,2025-01-02
2025-01-09,Tarde,EST-01,Aserrado,480,0,480,12,4944,155,4789,19,2025-01-02
2025-01-09,Noche,EST-01,Aserrado,480,0,480,12,4811,149,4662,20,2025-01-02
2025-01-09,Mañana,EST-02,Prensado,480,0,480,8,3423,133,3290,15,2025-01-03
2025-01-09,Tarde,EST-02,Prensado,480,124,356,8,2346,74,2272,16,2025-01-03
